model,group,paper_pct,synthetic_pct,abs_diff_pp
nn4,all,2.49,0.028286671595001422,2.461713328404999
nn4,top70,0.47,0.0077950282846628305,0.46220497171533714
nn4,bottom30,5.5,0.07404344714111444,5.425956552858885
nn4,amcps_top70,1.96,-0.0115356618754614,1.9715356618754614
nn4,amcps_bottom30,3.56,0.11636636136382883,3.4436336386361712
nn4,soe,1.3,0.03578543572785309,1.264214564272147
nn4,non_soe,2.92,0.021214032169836194,2.8987859678301637
ols3_h,all,0.77,1.5125078204786702,0.7425078204786701
ols3_h,top70,0.23,1.220682432379916,0.9906824323799159
ols3_h,bottom30,1.57,2.1641387599643624,0.5941387599643624
ols3_h,amcps_top70,1.31,1.2779054566031123,0.032094543396887776
ols3_h,amcps_bottom30,-0.31,2.0314051735059735,2.3414051735059735
ols3_h,soe,0.52,0.8544178469746755,0.33441784697467547
ols3_h,non_soe,0.87,2.133201178668853,1.263201178668853
rf,all,2.44,0.5854898925251706,1.8545101074748294
rf,top70,-0.04,0.4058287566435781,0.4458287566435781
rf,bottom30,6.1,0.9866638805949179,5.113336119405082
rf,amcps_top70,1.69,0.41419956044088657,1.2758004395591134
rf,amcps_bottom30,3.93,0.964352656094114,2.965647343905886
rf,soe,0.8,0.26032421398987093,0.5396757860101291
rf,non_soe,3.02,0.8921777089397342,2.1278222910602658
