model,strategy,cost_bps,avg_monthly,std_monthly,sharpe_ann,skew,kurtosis,max_drawdown,max_1m_loss
nn4,long_only,0,0.0022720796098809723,0.029704467346926514,0.2649673718900941,-0.13885747036357976,0.17510217274810547,0.29367463437189045,0.07165156031699715
nn4,long_short,0,0.004753696837415663,0.027300736299370337,0.6031811271239096,0.3068266779144722,-0.18313683836718297,0.15070832020893254,0.04392218956705545
nn4,long_only,20,0.0009144971619304811,0.029730867629554278,0.10655293128859707,-0.13742344445829763,0.18582463282727968,0.3215641994251416,0.0727006434346996
nn4,long_short,20,0.001987737872696608,0.027339196838208082,0.25186277475626534,0.31083274295529856,-0.15796752825189353,0.2270079895019641,0.04758255291583633
nn4,long_only,40,-0.0004430852860200106,0.029760802302321504,-0.05157429693439288,-0.13597033576040016,0.19639497950325602,0.3483917056889291,0.07374972655240206
nn4,long_short,40,-0.0007782210920224473,0.027388450843046742,-0.09842969787733116,0.3144979166558002,-0.1322264861134017,0.3448045755163929,0.051242916264617216
nn4,long_only,60,-0.001800667733970503,0.029794260712089897,-0.20935897909500842,-0.13449777836322468,0.20680341837927596,0.3741961051163021,0.07504604312722743
nn4,long_short,60,-0.003544180056741502,0.027448440209943806,-0.44728952774698993,0.3178160547589616,-0.1060693206934622,0.4578214792643678,0.054903279613398095
nn4,long_only,80,-0.0031582501819209957,0.02983123100229747,-0.3667464998463871,-0.13300544255967048,0.21704054200794642,0.3990149758048761,0.07678834664194954
nn4,long_short,80,-0.006310139021460558,0.027519094732365447,-0.7943198345938601,0.32078309613567685,-0.07965505570601161,0.5608466367323202,0.058563642962178974
ols3_h,long_only,0,0.011537736854340348,0.026791207626618893,1.4918287159420154,-0.20399642965864695,0.4745454739733246,0.1256855588643272,0.0642804452549279
ols3_h,long_short,0,0.022724591950688888,0.026433518976824836,2.9780482783523654,0.24034939631910832,0.048714729316861494,0.04259755566395429,0.04259755566395429
ols3_h,long_only,20,0.010614927229752756,0.02679422755317674,1.37235479127655,-0.2002113033465242,0.481985223204104,0.13190389563043303,0.06500716597270093
ols3_h,long_short,20,0.020856245322442003,0.026518035367401438,2.724491166340138,0.22295041900104062,0.03375467174934066,0.045909157114689236,0.04535723156464507
ols3_h,long_only,40,0.009692117605165166,0.026801373302178085,1.2527149214189408,-0.1961829663528887,0.4889135445505044,0.13808468302463994,0.06573388669047395
ols3_h,long_short,40,0.01898789869419512,0.026613506777824047,2.471527374567633,0.2059577775005352,0.020215612029988783,0.05159674522102653,0.048116907465335854
ols3_h,long_only,60,0.008769307980577576,0.026812641574944975,1.1329646075433923,-0.1919219561748582,0.4953220658656572,0.1442281082140674,0.06646060740824697
ols3_h,long_short,60,0.01711955206594824,0.02671981577963737,2.2194714383951872,0.18940350525346306,0.00806417666289061,0.05899056389580104,0.050876583366026636
ols3_h,long_only,80,0.007846498355989988,0.026828027176866845,1.0131593892076503,-0.18743937662085436,0.5012037397064946,0.15033435762647418,0.06718732812601999
ols3_h,long_short,80,0.01525120543770136,0.026836833579991677,1.9686273804271721,0.1733154867937985,-0.002747779502055181,0.0666628580100328,0.05363625926671742
rf,long_only,0,0.007760945762255257,0.031221706476395987,0.8610901768085653,-0.324444562985584,0.6200140946498407,0.2718507984358679,0.0868344031033481
rf,long_short,0,0.016067588276933675,0.02948953959099652,1.887440742495957,-0.20075883755904844,0.46537169005121903,0.08095756660089404,0.08095756660089402
rf,long_only,20,0.00631211928696146,0.03127818611437183,0.6990757883769471,-0.32714912572179566,0.6340651053026694,0.3072863257438567,0.08857617112004385
rf,long_short,20,0.013225795009221362,0.02954593504374862,1.5506531705659554,-0.19246073499827113,0.5174296288209832,0.08441598125596272,0.08416994152950749
rf,long_only,40,0.004863292811667663,0.03133807205038414,0.5375870109909735,-0.3297250007643629,0.6476729998867592,0.341049582806525,0.09031793913673959
rf,long_short,40,0.010384001741509058,0.029613204634048346,1.21470261827037,-0.18415601083289407,0.5696760332477178,0.08947497982063457,0.08738231645812097
rf,long_only,60,0.0034144663363738638,0.03140134479584563,0.3766736242529025,-0.3321675334575647,0.6608244401714756,0.37321702236229826,0.09205970715343534
rf,long_short,60,0.007542208473796751,0.029691274451508144,0.8799547017914513,-0.1758555525802198,0.6217967388770993,0.12418346925379298,0.09059469138673444
rf,long_only,80,0.001965639861080066,0.03146798392116698,0.21638425374198844,-0.33447239849311644,0.6735073244479333,0.40386171462777787,0.09380147517013109
rf,long_short,80,0.004700415206084443,0.029780059556348864,0.5467657267912965,-0.16756995288611634,0.6734840761050065,0.17496431852279026,0.09380706631534791
